subNo,SVtask
1,1.60820448760562
2,1.63472574409909
3,1.71454941766109
4,1.91756209253717
5,1.0422045835315
6,1.76397406048388
7,1.78360680908687
8,1.7921024785147
9,1.8171658401142
10,-0.0788249955391662
11,1.09340441404264
12,1.3254329364573
13,0.608277945153156
14,0.817356759907228
15,1.50152572278991
16,1.42134387966019
17,846849060562018
18,1.00810547252983
19,1.21464506417511
20,0.664559364685612
21,1.32961606958373
22,1.89745519744086
23,-0.200830662829521
24,-1.06235686161637
25,1.91041398839697
26,0.994704064895407
27,1.85251368237848
28,1.20738447106115
29,1.36287648370969
30,15.6685397044784
31,0.950127544616324
32,2.00007864055177
33,1.81049539421631
34,1.00651510276252
35,-0.877095144428452
36,-9.26918001257566
37,0.550132122205571
38,1.17219494607855
39,1.48355526716311
40,1.98913539364863
41,2.03090664734861
42,1.31260590596599
43,1.42523424038453
44,0.161368085756107
45,1.79262022127133
46,-0.983858090055718
47,1.9173536493172
48,0.609964297875419
49,1.55858858982461
50,2.73599879540241
51,0.486014008210756
52,-13.9916733068305
53,1.73769529674493
54,-0.27965147473701
55,1.54711592713959
56,0.815148826831608
57,1.92267211523133
58,1.78364113460813
59,1.78820986215346
60,1.81654604062673
61,1.75389188472159
62,0.550863202934591
