subNo,I01,I02,I04,I06,I08,I10,I12,I14,I16,I18,I20,I22,U01,U02,U04,U06,U08,U10,U12,U14,U16,U18,U20,U22
24,0.166666666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0.0833333333333333,0,0,0,0,0
25,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.916666666666667,0.0833333333333333,0.0833333333333333
26,1,1,1,1,1,0.25,0,0,0,0,0,0,1,1,1,1,1,0.166666666666667,0,0,0,0,0,0
27,1,1,1,1,1,1,1,0.833333333333333,1,0.916666666666667,0,0,1,1,1,1,1,1,0.916666666666667,0.833333333333333,1,0.916666666666667,0.0833333333333333,0
28,0.818181818181818,0.833333333333333,0.727272727272727,0.833333333333333,0.75,0.666666666666667,0.333333333333333,0.0833333333333333,0.181818181818182,0,0.0833333333333333,0.0833333333333333,1,1,0.916666666666667,0.916666666666667,0.833333333333333,0.833333333333333,0.583333333333333,0.5,0.416666666666667,0.166666666666667,0.0833333333333333,0.272727272727273
29,1,0.916666666666667,1,1,0.833333333333333,0.833333333333333,0.416666666666667,0.416666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0,1,0.916666666666667,1,1,1,0.833333333333333,0.75,0.666666666666667,0.416666666666667,0,0,0
30,0.166666666666667,0.25,0.166666666666667,0.25,0.25,0.416666666666667,0.0833333333333333,0.0833333333333333,0.25,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.25,0.25,0.416666666666667,0.25,0.166666666666667,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333
31,1,0.916666666666667,1,1,0.5,0.5,0.333333333333333,0.0833333333333333,0.0833333333333333,0,0,0.0833333333333333,1,1,1,0.833333333333333,0.333333333333333,0.416666666666667,0.25,0.0833333333333333,0,0.0833333333333333,0,0
32,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0,1,1,1,1,1,1,1,1,1,1,0.583333333333333,0.0833333333333333
33,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.833333333333333,0,0
34,1,1,0.916666666666667,0.583333333333333,0.5,0.333333333333333,0.25,0.166666666666667,0.166666666666667,0.25,0,0,1,1,0.916666666666667,0.75,0.666666666666667,0.333333333333333,0.416666666666667,0.333333333333333,0.25,0.25,0,0
35,0.25,0.5,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0,0,0,0.0833333333333333,0.166666666666667,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0,0
36,0.0833333333333333,0.0833333333333333,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333
37,0.666666666666667,0.5,0.416666666666667,0.25,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0,0,0.0833333333333333,0.916666666666667,0.916666666666667,0.666666666666667,0.5,0.666666666666667,0.416666666666667,0.416666666666667,0.25,0.333333333333333,0,0,0.0833333333333333
38,1,1,1,1,0.916666666666667,0.666666666666667,0.5,0,0.0833333333333333,0,0,0,1,1,1,1,1,0.5,0.545454545454545,0.363636363636364,0.166666666666667,0,0,0
39,1,1,1,0.916666666666667,1,0.916666666666667,0.666666666666667,0.833333333333333,0.272727272727273,0.0833333333333333,0,0,1,1,1,0.916666666666667,0.909090909090909,0.833333333333333,0.916666666666667,0.583333333333333,0.5,0.25,0.0833333333333333,0.0833333333333333
40,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.166666666666667,0
41,1,1,1,1,1,0.916666666666667,1,1,1,1,0.5,0,1,1,1,1,1,1,1,1,1,1,0.75,0.0909090909090909
42,1,1,1,0.916666666666667,0.75,0.583333333333333,0.583333333333333,0.5,0.333333333333333,0,0,0,1,1,0.916666666666667,0.916666666666667,0.916666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.5,0,0,0
43,1,1,1,0.916666666666667,1,1,0.75,0.666666666666667,0.25,0,0,0,1,1,1,1,1,0.916666666666667,0.916666666666667,0.583333333333333,0.166666666666667,0.0833333333333333,0,0
44,0.5,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0,0,0,0,0,0,0,0.583333333333333,0.583333333333333,0.333333333333333,0.25,0.0833333333333333,0,0,0,0,0,0,0
45,1,1,1,1,1,1,1,1,0.916666666666667,0.416666666666667,0,0,1,1,1,1,1,1,1,1,1,0.583333333333333,0,0
46,0.777777777777778,0.0909090909090909,0.333333333333333,0.333333333333333,0.454545454545455,0.272727272727273,0.636363636363636,0.1,0.7,0.272727272727273,0.583333333333333,0.181818181818182,0.636363636363636,0.166666666666667,0.583333333333333,0.272727272727273,0.909090909090909,0.25,0.636363636363636,0.166666666666667,0.545454545454545,0.166666666666667,0.5,0.25
47,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.916666666666667,1,1,1,1,0.166666666666667,0.0833333333333333
48,0.916666666666667,0.75,0.75,0.333333333333333,0.5,0,0,0,0,0,0,0,1,0.833333333333333,1,0.583333333333333,0.416666666666667,0,0,0,0,0,0,0
49,1,0.916666666666667,1,1,1,1,1,0.916666666666667,0.166666666666667,0.0833333333333333,0.0833333333333333,0,1,1,1,1,1,1,0.916666666666667,1,0.5,0,0,0
50,1,1,1,1,1,1,1,1,1,1,0.916666666666667,1,1,1,1,1,1,1,1,1,1,1,0.916666666666667,0.916666666666667
51,0.916666666666667,0.75,0.333333333333333,0.25,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0.166666666666667,0,0,0,1,0.833333333333333,0.545454545454545,0.416666666666667,0.166666666666667,0.0833333333333333,0.166666666666667,0.0833333333333333,0,0,0,0
52,0.181818181818182,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333
53,0.916666666666667,0.833333333333333,1,0.916666666666667,1,0.833333333333333,0.75,0.833333333333333,0.75,0.666666666666667,0,0,1,1,1,1,1,0.833333333333333,0.916666666666667,1,0.833333333333333,0.666666666666667,0.0833333333333333,0.0833333333333333
54,0.333333333333333,0.25,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.25,0,0.25,0,0,0.583333333333333,0.416666666666667,0.333333333333333,0.416666666666667,0.333333333333333,0.75,0.416666666666667,0.416666666666667,0.25,0.333333333333333,0.416666666666667,0
55,1,1,1,1,1,0.916666666666667,0.666666666666667,0.75,0.333333333333333,0.25,0,0,1,1,1,1,1,0.75,0.75,0.916666666666667,0.666666666666667,0.333333333333333,0.0833333333333333,0
56,0.916666666666667,0.833333333333333,0.818181818181818,0.5,0.583333333333333,0.25,0.333333333333333,0.0833333333333333,0.333333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0.916666666666667,1,0.5,0.5,0.416666666666667,0.25,0.333333333333333,0.166666666666667,0.333333333333333,0,0.0833333333333333,0
57,1,0.833333333333333,0.916666666666667,0.916666666666667,0.916666666666667,1,0.916666666666667,1,1,0.833333333333333,0,0.166666666666667,1,1,1,1,1,1,1,1,1,0.916666666666667,0.166666666666667,0.0833333333333333
58,1,1,1,1,1,1,1,0.916666666666667,0.916666666666667,0.25,0,0,1,1,1,1,1,1,1,1,1,0.666666666666667,0.0833333333333333,0
59,1,0.916666666666667,1,1,1,1,1,1,0.833333333333333,0.5,0.0833333333333333,0,1,1,0.916666666666667,1,1,1,1,1,1,0.5,0.0833333333333333,0
60,1,1,1,1,1,1,1,0.916666666666667,0.916666666666667,0.666666666666667,0,0,1,1,1,1,1,1,1,1,1,0.583333333333333,0.0833333333333333,0
61,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.583333333333333,0.333333333333333,0.272727272727273,0.5,0.583333333333333,0.333333333333333,0.0909090909090909,0.0833333333333333,0.916666666666667,0.75,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.75,0.833333333333333,0.75,0.583333333333333,0.666666666666667
62,0.545454545454545,0.7,0.454545454545455,0.4,0.333333333333333,0,0,0,0.0909090909090909,0.0833333333333333,0,0.0833333333333333,0.833333333333333,0.666666666666667,0.636363636363636,0.666666666666667,0.666666666666667,0.333333333333333,0.181818181818182,0.111111111111111,0.454545454545455,0.454545454545455,0.0833333333333333,0.0833333333333333
