subNo,I01,I02,I04,I06,I08,I10,I12,I14,I16,I18,I20,I22,U01,U02,U04,U06,U08,U10,U12,U14,U16,U18,U20,U22
1,0.833333333333333,0.833333333333333,0.75,0.666666666666667,0.727272727272727,0.833333333333333,0.727272727272727,0.8,0.636363636363636,0.727272727272727,0.272727272727273,0.0909090909090909,0.636363636363636,0.916666666666667,0.75,0.666666666666667,0.636363636363636,0.909090909090909,0.416666666666667,0.818181818181818,0.636363636363636,0.454545454545455,0.25,0.0833333333333333
2,1,0.909090909090909,1,0.916666666666667,1,0.75,0.666666666666667,0.583333333333333,0.666666666666667,0.5,0.166666666666667,0.166666666666667,0.916666666666667,1,1,1,0.833333333333333,0.916666666666667,0.833333333333333,0.416666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.181818181818182
3,1,1,1,1,1,0.916666666666667,0.833333333333333,1,0.909090909090909,0.0833333333333333,0.0833333333333333,0.166666666666667,1,1,1,1,1,0.7,1,0.818181818181818,0.833333333333333,0.5,0.0833333333333333,0.0833333333333333
4,1,1,1,1,1,1,1,0.916666666666667,0.916666666666667,1,0.166666666666667,0,1,1,1,1,1,1,1,1,1,0.916666666666667,0.166666666666667,0.0833333333333333
5,1,1,1,0.916666666666667,0.75,0.583333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0.0833333333333333,0,0,1,1,1,0.666666666666667,0.833333333333333,0.333333333333333,0.416666666666667,0.166666666666667,0.166666666666667,0,0,0.0833333333333333
6,0.916666666666667,1,0.916666666666667,0.833333333333333,0.916666666666667,0.916666666666667,0.75,0.416666666666667,0.583333333333333,0.583333333333333,0.272727272727273,0.25,1,0.75,1,0.909090909090909,0.833333333333333,0.75,0.916666666666667,0.75,0.666666666666667,0.6,0.416666666666667,0.181818181818182
7,1,1,1,1,1,1,1,0.833333333333333,0.916666666666667,0.5,0,0,1,1,1,1,1,1,1,1,1,0.583333333333333,0,0
8,1,1,1,1,1,1,1,1,0.916666666666667,0.583333333333333,0,0,1,1,1,1,1,1,1,1,0.916666666666667,0.5,0,0
9,1,1,1,0.916666666666667,1,1,0.916666666666667,0.818181818181818,0.666666666666667,0.75,0.25,0.0833333333333333,1,1,1,1,1,0.916666666666667,0.916666666666667,0.916666666666667,0.75,0.583333333333333,0.416666666666667,0
10,0.333333333333333,0.333333333333333,0.416666666666667,0.416666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.25,0.0833333333333333,0.166666666666667,0,0,0.416666666666667,0.333333333333333,0.416666666666667,0.416666666666667,0.333333333333333,0.25,0.166666666666667,0.25,0.166666666666667,0.166666666666667,0,0
11,0.916666666666667,0.916666666666667,0.833333333333333,0.833333333333333,0.583333333333333,0.5,0.166666666666667,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,1,1,1,0.916666666666667,0.833333333333333,0.583333333333333,0.666666666666667,0.416666666666667,0.25,0.0833333333333333,0.166666666666667,0
12,1,1,1,1,0.916666666666667,0.5,0.666666666666667,0.416666666666667,0.166666666666667,0,0,0,1,1,1,1,1,1,0.833333333333333,0.5,0.25,0,0,0
13,0.75,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0,0,0,0,0,0.75,0.75,0.583333333333333,0.583333333333333,0.5,0.583333333333333,0.333333333333333,0.25,0.0833333333333333,0.0833333333333333,0,0
14,0.75,0.666666666666667,0.75,0.666666666666667,0.583333333333333,0.416666666666667,0.333333333333333,0.416666666666667,0.333333333333333,0.0833333333333333,0.0833333333333333,0,0.666666666666667,0.666666666666667,0.666666666666667,0.583333333333333,0.583333333333333,0.333333333333333,0.416666666666667,0.25,0.333333333333333,0.166666666666667,0,0
15,1,1,1,1,1,1,0.583333333333333,0.583333333333333,0.583333333333333,0.166666666666667,0,0,1,1,1,1,1,0.916666666666667,0.75,0.833333333333333,0.5,0.0833333333333333,0,0
16,1,1,1,1,1,1,1,0.545454545454545,0.0833333333333333,0,0,0,1,1,0.909090909090909,1,0.916666666666667,1,1,0.5,0.0833333333333333,0,0.166666666666667,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0.916666666666667,0.916666666666667,0.583333333333333,0.583333333333333,0.0833333333333333,0.25,0.25,0.0833333333333333,0.0833333333333333,0,0,1,1,1,1,0.833333333333333,0.583333333333333,0.25,0.25,0.0833333333333333,0.333333333333333,0,0
19,1,1,0.916666666666667,0.916666666666667,0.833333333333333,0.6,0.5,0.416666666666667,0.166666666666667,0.25,0,0,0.916666666666667,0.916666666666667,1,1,0.818181818181818,0.666666666666667,0.666666666666667,0.416666666666667,0.0909090909090909,0,0,0
20,0.727272727272727,0.333333333333333,0.416666666666667,0.25,0.333333333333333,0.166666666666667,0.272727272727273,0.0833333333333333,0.25,0.0833333333333333,0.0833333333333333,0,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.416666666666667,0.416666666666667,0.333333333333333,0.333333333333333,0.333333333333333
21,1,1,1,0.916666666666667,0.833333333333333,0.416666666666667,0.416666666666667,0.583333333333333,0.166666666666667,0,0,0,1,1,1,1,1,0.75,0.666666666666667,0.75,0.333333333333333,0.416666666666667,0,0
22,1,1,1,1,1,1,0.916666666666667,0.916666666666667,0.916666666666667,0.75,0.25,0.0833333333333333,1,1,1,1,1,1,1,0.916666666666667,0.916666666666667,0.666666666666667,0.333333333333333,0.181818181818182
23,0.5,0.416666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.333333333333333,0.333333333333333,0.25,0.25,0,0.0833333333333333,0.416666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.25,0.333333333333333,0.333333333333333,0.25,0.25,0,0
