1,NaN,2,3.4,1,2.7148,1,49
1,NaN,4,0.2,0,2.7073,1,50
1,2,3,1.8,1,2.4911,1,50
1,NaN,4,1.8,0,2.3844,1,50
1,NaN,4,3.8,1,3.1508,1,49
1,2,2,2,1,1.6253,1,49
1,NaN,4,2.4,1,3.0338,1,50
1,NaN,2,1.6,0,2.0584,1,49
1,0,4,1.8,1,2.0587,1,50
1,NaN,3,2.4,1,2.4917,1,49
1,NaN,2,0.1,0,2.2751,1,49
1,0,1,0.1,0,1.9503,1,50
1,2,1,1.8,1,4.117,1,50
1,0,4,1.4,0,2.167,1,49
1,0,4,1.6,0,3.0335,1,50
1,NaN,2,0.2,0,3.6827,1,50
1,0,3,1.4,0,2.5989,1,49
1,0,2,0.2,0,2.6003,1,49
1,NaN,4,0.4,0,2.4917,1,49
1,NaN,4,3,1,4.5503,1,49
1,NaN,2,0.4,0,2.0586,1,49
1,2,1,1.4,0,5.7417,1,49
1,NaN,4,3.4,1,1.8416,1,49
1,NaN,2,1.4,NaN,0,1,0
1,2,2,1.4,1,3.0363,1,50
1,NaN,1,2.6,0,2.4906,1,49
1,NaN,1,1.4,0,1.6262,1,49
1,NaN,4,3.6,1,1.8426,1,50
1,NaN,2,1,0,4.1172,1,50
1,2,1,1.2,1,1.9509,1,49
1,NaN,4,2.8,1,2.2756,1,50
1,2,4,0.2,0,1.9505,1,49
1,NaN,1,2.8,0,3.3586,1,50
1,NaN,4,3.2,1,3.5756,1,50
1,0,1,2,1,3.2507,1,49
1,NaN,4,1.2,0,3.5751,1,49
1,2,4,2.2,1,3.6843,1,50
1,0,4,1.2,0,2.3837,1,50
1,NaN,3,0.6,0,1.5166,1,49
1,0,2,0.1,0,2.8163,1,50
1,2,3,0.1,0,4.3336,1,50
1,NaN,3,2,0,1.8423,1,50
1,0,3,0.1,0,3.3586,1,50
1,2,2,1.8,0,2.7086,1,49
1,0,3,1,0,3.467,1,49
1,2,4,0.1,0,2.0579,1,50
1,0,3,1.2,0,3.9005,1,50
1,NaN,1,3.8,0,5.5255,1,49
1,NaN,1,0.4,0,3.3588,1,50
1,2,3,2,1,4.4426,1,49
1,2,2,1.2,1,4.4423,1,49
1,0,2,1.4,NaN,0,1,0
1,2,3,0.6,0,2.4951,1,49
1,NaN,4,2.2,1,3.1422,1,49
1,2,1,0.1,0,2.1686,1,50
