1,NaN,2,3.4,1,2.7148,1,49,2
1,NaN,4,0.2,0,2.7073,1,50,2
1,NaN,4,1.8,0,2.3844,1,50,2
1,NaN,4,3.8,1,3.1508,1,49,2
1,NaN,4,2.4,1,3.0338,1,50,2
1,NaN,2,1.6,0,2.0584,1,49,2
1,NaN,3,2.4,1,2.4917,1,49,2
1,NaN,2,0.1,0,2.2751,1,49,2
1,NaN,2,0.2,0,3.6827,1,50,2
1,NaN,4,0.4,0,2.4917,1,49,2
1,NaN,4,3,1,4.5503,1,49,2
1,NaN,2,0.4,0,2.0586,1,49,2
1,NaN,4,3.4,1,1.8416,1,49,2
1,NaN,2,1.4,NaN,0,1,0,2
1,NaN,1,2.6,0,2.4906,1,49,2
1,NaN,1,1.4,0,1.6262,1,49,2
1,NaN,4,3.6,1,1.8426,1,50,2
1,NaN,2,1,0,4.1172,1,50,2
1,NaN,4,2.8,1,2.2756,1,50,2
1,NaN,1,2.8,0,3.3586,1,50,2
1,NaN,4,3.2,1,3.5756,1,50,2
1,NaN,4,1.2,0,3.5751,1,49,2
1,NaN,3,0.6,0,1.5166,1,49,2
1,NaN,3,2,0,1.8423,1,50,2
1,NaN,1,3.8,0,5.5255,1,49,2
1,NaN,1,0.4,0,3.3588,1,50,2
1,NaN,4,2.2,1,3.1422,1,49,2
1,NaN,1,3,0,3.4677,1,49,2
1,NaN,1,0.8,0,2.7087,1,50,2
1,NaN,3,0.2,0,3.1424,1,49,2
1,NaN,4,0.8,0,1.8432,1,49,2
1,NaN,4,2.6,1,2.3846,1,49,2
1,NaN,2,1.2,0,1.5174,1,49,2
1,NaN,2,0.8,0,1.7341,1,49,2
1,NaN,3,0.8,0,2.4922,1,50,2
1,NaN,1,2,0,2.4923,1,50,2
1,NaN,3,0.1,0,5.5256,1,50,2
1,NaN,1,4,1,2.1675,1,49,2
1,NaN,4,1.4,0,1.9507,1,50,2
1,NaN,2,2,0,5.2004,1,49,2
1,NaN,3,1.2,0,3.2509,1,50,2
1,NaN,4,0.1,0,1.8422,1,49,2
1,NaN,3,3.8,1,2.8174,1,50,2
1,NaN,2,2.6,0,2.8173,1,50,2
1,NaN,3,1.8,0,1.1929,1,49,2
1,NaN,1,2.4,0,3.9005,1,50,2
1,NaN,2,3.8,1,3.9011,1,49,2
1,NaN,4,2,0,3.1504,1,49,2
1,NaN,3,2.6,0,3.3589,1,49,2
1,NaN,4,1.6,0,1.9514,1,49,2
1,NaN,4,4,1,2.3843,1,50,2
1,NaN,3,2.8,1,4.9841,1,49,2
1,NaN,3,2.2,0,4.5513,1,49,2
1,NaN,1,0.6,0,4.0087,1,49,2
1,NaN,2,0.6,0,3.2508,1,50,2
