subNo,Across,sz1,sz2,sz3,sz4
1,0.626692456479691,0.740458015267176,0.69047619047619,0.6015625,0.477272727272727
2,0.531716417910448,0.631578947368421,0.626865671641791,0.437037037037037,0.432835820895522
3,0.629001883239171,0.626865671641791,0.636363636363636,0.598484848484849,0.654135338345865
4,0.703703703703704,0.688888888888889,0.703703703703704,0.718518518518519,0.703703703703704
5,0.488888888888889,0.555555555555556,0.511111111111111,0.474074074074074,0.414814814814815
6,0.613935969868173,0.611940298507463,0.625954198473282,0.62406015037594,0.593984962406015
7,0.631481481481482,0.666666666666667,0.637037037037037,0.62962962962963,0.592592592592593
8,0.644444444444444,0.666666666666667,0.644444444444444,0.637037037037037,0.62962962962963
9,0.647388059701492,0.666666666666667,0.654135338345865,0.641791044776119,0.626865671641791
10,0.348148148148148,0.392592592592593,0.362962962962963,0.325925925925926,0.311111111111111
11,0.454545454545455,0.466666666666667,0.525925925925926,0.459259259259259,0.365671641791045
12,0.52962962962963,0.57037037037037,0.555555555555556,0.503703703703704,0.488888888888889
13,0.333951762523191,0.466666666666667,0.422222222222222,0.246268656716418,0.2
14,0.444444444444444,0.459259259259259,0.437037037037037,0.437037037037037,0.444444444444444
15,0.565862708719852,0.597014925373134,0.577777777777778,0.57037037037037,0.518518518518518
16,0.511152416356877,0.5,0.522388059701492,0.511111111111111,0.511111111111111
17,0.255555555555556,0.237037037037037,0.237037037037037,0.244444444444444,0.303703703703704
18,0.390740740740741,0.444444444444444,0.385185185185185,0.362962962962963,0.37037037037037
19,0.505660377358491,0.560606060606061,0.544776119402985,0.451127819548872,0.465648854961832
20,0.278504672897196,0.353383458646617,0.270676691729323,0.274074074074074,0.216417910447761
21,0.492592592592593,0.6,0.57037037037037,0.437037037037037,0.362962962962963
22,0.664165103189493,0.649253731343284,0.666666666666667,0.67175572519084,0.669172932330827
23,0.287569573283859,0.296296296296296,0.305970149253731,0.274074074074074,0.274074074074074
24,0.229050279329609,0.238805970149254,0.238805970149254,0.216417910447761,0.222222222222222
25,0.667903525046382,0.674074074074074,0.674074074074074,0.671641791044776,0.651851851851852
26,0.431261770244821,0.416666666666667,0.424242424242424,0.437037037037037,0.446969696969697
27,0.677179962894249,0.651851851851852,0.666666666666667,0.694029850746269,0.696296296296296
28,0.390654205607477,0.455223880597015,0.398496240601504,0.380597014925373,0.328358208955224
29,0.565055762081784,0.6,0.597014925373134,0.552238805970149,0.511111111111111
30,0.300556586270872,0.440298507462687,0.392592592592593,0.214814814814815,0.155555555555556
31,0.391465677179963,0.414814814814815,0.402985074626866,0.377777777777778,0.37037037037037
32,0.690740740740741,0.688888888888889,0.703703703703704,0.681481481481481,0.688888888888889
33,0.689591078066915,0.681481481481481,0.701492537313433,0.67910447761194,0.696296296296296
34,0.444444444444444,0.637037037037037,0.451851851851852,0.355555555555556,0.333333333333333
35,0.490706319702602,0.503703703703704,0.481481481481481,0.488888888888889,0.488721804511278
36,0.325842696629214,0.223880597014925,0.234848484848485,0.395522388059701,0.447761194029851
37,0.23463687150838,0.417910447761194,0.335820895522388,0.141791044776119,0.0444444444444444
38,0.497206703910615,0.514925373134328,0.496240601503759,0.496296296296296,0.481481481481481
39,0.577067669172932,0.58955223880597,0.62406015037594,0.58955223880597,0.50381679389313
40,0.67037037037037,0.659259259259259,0.681481481481481,0.666666666666667,0.674074074074074
41,0.697368421052632,0.704545454545455,0.689393939393939,0.701492537313433,0.694029850746269
42,0.492592592592593,0.622222222222222,0.6,0.444444444444444,0.303703703703704
43,0.524074074074074,0.57037037037037,0.555555555555556,0.511111111111111,0.459259259259259
44,0.12639405204461,0.177777777777778,0.134328358208955,0.125925925925926,0.0671641791044776
45,0.631481481481482,0.644444444444444,0.644444444444444,0.62962962962963,0.607407407407407
46,0.399606299212598,0.418604651162791,0.4140625,0.419354838709677,0.346456692913386
47,0.674074074074074,0.659259259259259,0.688888888888889,0.666666666666667,0.681481481481481
48,0.298148148148148,0.37037037037037,0.311111111111111,0.266666666666667,0.244444444444444
49,0.593692022263451,0.6,0.614814814814815,0.585185185185185,0.574626865671642
50,0.733208955223881,0.736842105263158,0.733333333333333,0.716417910447761,0.746268656716418
51,0.365671641791045,0.37593984962406,0.377777777777778,0.345864661654135,0.362962962962963
52,0.0893854748603352,0.0895522388059701,0.0902255639097744,0.103703703703704,0.0740740740740741
53,0.581481481481481,0.644444444444444,0.659259259259259,0.540740740740741,0.481481481481481
54,0.353159851301115,0.355555555555556,0.380597014925373,0.348148148148148,0.328358208955224
55,0.585185185185185,0.592592592592593,0.592592592592593,0.592592592592593,0.562962962962963
56,0.467411545623836,0.42962962962963,0.488888888888889,0.503759398496241,0.447761194029851
57,0.659851301115242,0.656716417910448,0.651851851851852,0.674074074074074,0.656716417910448
58,0.640074211502783,0.637037037037037,0.644444444444444,0.664179104477612,0.614814814814815
59,0.642592592592593,0.637037037037037,0.644444444444444,0.644444444444444,0.644444444444444
60,0.648148148148148,0.666666666666667,0.666666666666667,0.651851851851852,0.607407407407407
61,0.351301115241636,0.544776119402985,0.455223880597015,0.222222222222222,0.185185185185185
62,0.252465483234714,0.3046875,0.271317829457364,0.213114754098361,0.21875
