subNo,Across,sz1,sz2,sz3,sz4
1,0.488095238095238,0.507936507936508,0.476190476190476,0.46031746031746,0.507936507936508
2,0.49800796812749,0.5,0.412698412698413,0.555555555555556,0.523809523809524
3,0.474103585657371,0.467741935483871,0.492063492063492,0.476190476190476,0.46031746031746
8,0.78,0.777777777777778,0.774193548387097,0.793650793650794,0.774193548387097
9,0.662698412698413,0.666666666666667,0.682539682539683,0.650793650793651,0.650793650793651
10,0.488095238095238,0.476190476190476,0.507936507936508,0.476190476190476,0.492063492063492
11,0.525896414342629,0.516129032258065,0.53968253968254,0.523809523809524,0.523809523809524
12,0.472,0.467741935483871,0.476190476190476,0.467741935483871,0.476190476190476
13,0.511904761904762,0.523809523809524,0.507936507936508,0.492063492063492,0.523809523809524
14,0.53,0.519230769230769,0.48,0.541666666666667,0.58
15,0.468253968253968,0.476190476190476,0.444444444444444,0.476190476190476,0.476190476190476
16,0.353174603174603,0.365079365079365,0.349206349206349,0.365079365079365,0.333333333333333
17,0.476190476190476,0.476190476190476,0.492063492063492,0.444444444444444,0.492063492063492
18,0.468253968253968,0.476190476190476,0.46031746031746,0.46031746031746,0.476190476190476
19,0.440816326530612,0.428571428571429,0.409836065573771,0.457627118644068,0.467741935483871
20,0.472222222222222,0.46031746031746,0.476190476190476,0.476190476190476,0.476190476190476
21,0.48207171314741,0.492063492063492,0.476190476190476,0.476190476190476,0.483870967741936
22,0.402597402597403,0.421052631578947,0.372881355932203,0.421052631578947,0.396551724137931
23,0.952380952380952,0.952380952380952,0.984126984126984,0.936507936507937,0.936507936507937
24,0.472,0.507936507936508,0.483870967741936,0.476190476190476,0.419354838709677
25,0.48605577689243,0.46031746031746,0.5,0.492063492063492,0.492063492063492
26,0.414342629482072,0.46031746031746,0.428571428571429,0.403225806451613,0.365079365079365
27,0.472,0.451612903225806,0.476190476190476,0.483870967741936,0.476190476190476
28,0.408730158730159,0.46031746031746,0.444444444444444,0.396825396825397,0.333333333333333
29,0.474103585657371,0.476190476190476,0.467741935483871,0.476190476190476,0.476190476190476
30,0.48015873015873,0.46031746031746,0.476190476190476,0.492063492063492,0.492063492063492
31,0.384920634920635,0.476190476190476,0.428571428571429,0.380952380952381,0.253968253968254
32,0.458167330677291,0.46031746031746,0.46031746031746,0.476190476190476,0.435483870967742
