subNo,Across,sz1,sz2,sz3,sz4
1,0.934027777777778,0.930555555555556,0.930555555555556,0.930555555555556,0.944444444444444
2,0.0139372822299652,0.028169014084507,0,0,0.0277777777777778
3,0.752613240418119,0.736111111111111,0.722222222222222,0.763888888888889,0.788732394366197
8,0.227272727272727,0.197183098591549,0.305555555555556,0.208333333333333,0.197183098591549
9,0.534722222222222,0.597222222222222,0.583333333333333,0.5,0.458333333333333
10,0.753472222222222,0.763888888888889,0.763888888888889,0.777777777777778,0.708333333333333
11,0.826388888888889,0.833333333333333,0.805555555555556,0.819444444444444,0.847222222222222
12,0.679442508710801,0.638888888888889,0.722222222222222,0.704225352112676,0.652777777777778
13,0.739583333333333,0.833333333333333,0.777777777777778,0.75,0.597222222222222
14,0.729166666666667,0.825396825396825,0.775862068965517,0.770491803278688,0.53448275862069
15,0.833333333333333,0.819444444444444,0.833333333333333,0.819444444444444,0.861111111111111
16,0.399305555555556,0.444444444444444,0.388888888888889,0.375,0.388888888888889
17,0.746527777777778,0.75,0.75,0.736111111111111,0.75
18,0.445993031358885,0.583333333333333,0.611111111111111,0.472222222222222,0.112676056338028
19,0.59375,0.555555555555556,0.597222222222222,0.611111111111111,0.611111111111111
20,0.916666666666667,0.930555555555556,0.902777777777778,0.916666666666667,0.916666666666667
21,0.776223776223776,0.76056338028169,0.791666666666667,0.791666666666667,0.76056338028169
22,0.654545454545455,0.641791044776119,0.710144927536232,0.652173913043478,0.614285714285714
23,0.275261324041812,0.25,0.305555555555556,0.263888888888889,0.28169014084507
24,0.0763888888888889,0.111111111111111,0.0972222222222222,0.0277777777777778,0.0694444444444444
25,0.340277777777778,0.319444444444444,0.319444444444444,0.333333333333333,0.388888888888889
26,0.70979020979021,0.763888888888889,0.746478873239437,0.666666666666667,0.661971830985916
27,0.659722222222222,0.666666666666667,0.652777777777778,0.652777777777778,0.666666666666667
28,0.797202797202797,0.861111111111111,0.833333333333333,0.805555555555556,0.685714285714286
29,0.832167832167832,0.819444444444444,0.830985915492958,0.847222222222222,0.830985915492958
30,0.857638888888889,0.861111111111111,0.847222222222222,0.847222222222222,0.875
31,0.588850174216028,0.763888888888889,0.690140845070423,0.513888888888889,0.388888888888889
32,0.802083333333333,0.819444444444444,0.833333333333333,0.819444444444444,0.736111111111111
