subNo,I,U,I1,I2,I3,I4,U1,U2,U3,U4
1,1.55487506837036,1.30480712615873,1.24680042859668,2.2,1.66782658411618,1.26588383784094,1.38049944903943,1.65415968468281,1.20415962382542,0.949947985831527
2,1.44358725006556,1.51993535454217,1.80121477484499,1.52401345034288,1.16751554164738,1.26227990990969,1.65579403961574,1.38396206242895,1.72915646242282,1.30364054638373
3,1.79535279995915,1.80758363749056,1.64361418528217,2.2,1.7073877912468,1.77396172685931,1.80313585617687,1.98327626987988,1.84702160735429,1.530054121045
4,1.91790530346162,1.88039747165303,2.00325068309671,1.90574447602401,1.8031358561565,1.90065340803202,1.90377060755409,1.90377060755408,1.99674933489414,1.79686436013071
5,1.08420789288745,0.914761600571373,1.36790709473461,1.10133858336308,1.10052757836753,0.76741916217988,1.50081214955858,0.833848273584911,0.564701974189782,0.767252454151832
6,1.63306579435509,2.05303638825874,1.73673684521403,1.61066927456384,1.79619297984743,1.44815788504258,2.0125383948021,1.77396172685931,2.00346524815934,2.2
7,1.70093097578114,1.83164437849103,1.83807477719738,1.70005678849847,1.60299965327103,1.63615772059958,1.99674933478303,1.9037706075541,1.7968643600576,1.69494968561466
8,1.76699536879762,1.75037300067332,1.97044113615207,1.79686436010682,1.69494968561465,1.60299647744961,1.90574447602401,1.79686436027271,1.70005678849847,1.60299965320933
9,1.7778916055112,1.7365147882516,1.80121477484499,1.7073877912468,1.86981507163721,1.73946505960847,1.83807477719738,1.70332932958486,1.63337417146514,1.77396172685931
10,0.862422874191994,1.39755796971318,1.23572765644482,0.895777583561065,0.829908937831441,0.503109392643488,1.70332932958486,1.51866111152963,1.16713415804113,1.17802438832934
11,1.30703338840228,1.41705916801058,1.72915646242282,1.43513588504118,1.03353980616346,1.03350555101528,1.70005678849847,1.50000526120572,1.30000058127296,1.16672182682643
12,0.653599235031966,0.715993499164925,1.10052757836753,0.700933658003345,0.322187351768715,0.468615906754468,0.898421952496069,0.767189549857324,0.700087451369148,0.501585201433063
13,0.979116502837154,0.866485470828796,1.10474674824629,1.10362902285553,1.2077154010111,0.528830262876508,1.01257116685229,0.979742024379905,0.809266726168671,0.664037578557724
14,1.52138018841612,1.553446667918,1.83807477719738,1.63615772059958,1.43669787332741,1.19723216024453,1.76712919726755,1.63337417146514,1.37474707024784,1.4335270991303
15,1.50028047873372,1.40693166120763,1.63337417146514,1.56846636924651,1.59700107876334,1.20276846955548,1.72035345146184,1.36790709473461,1.43513588504118,1.10133858336308
16,0.911911798269502,1.24367383900089,1.23622361856802,1.0337686176357,0.632439184898924,0.717298243958792,1.77396172685931,1.23735307268802,1.23866343015742,0.696124057074829
17,1.20285375649659,1.23452111357679,1.63928249506161,1.10077968318635,1.1668683390037,0.899314722060557,1.50000526120572,1.23358399690867,1.23395636354296,0.966450633916185
18,0.56002174728769,1.16677486260719,0.725098889371603,0.761263095119477,0.39854429183914,0.283514396302474,1.58729971896083,1.10726450752653,1.29766681317792,0.570950515147855
19,1.03374830782435,1.55981262083797,1.50081214955858,1.19723216016107,0.797122970244318,0.70010782090376,1.90570678641466,1.56720810340235,1.50666510588213,1.30066314818802
20,1.95462484098005,2.02457907258699,1.91625874077229,2.04197891188482,1.90065340803202,1.99674933480962,1.90574447602401,2.10679802813852,2.00325068322294,2.10679802813852
21,1.90377060755412,1.93439228591576,1.90377060755408,1.9037706075541,1.9037706075541,1.90377060755409,1.99674933473481,1.80314596041109,1.99674933498098,1.97044113615207
22,0.900138881835199,0.950346063229858,1.39714028722086,0.900315148233019,0.766864736719516,0.567550353870914,1.36679139496904,0.900010253540753,0.900135413256556,0.633774355215581
23,1.97278359879346,1.90574447602401,2.00325068322189,1.90065340803202,1.90574447602401,2.06760949177826,1.90574447602401,1.98327626987988,1.79686436022943,1.98327626987988
24,1.24681452564029,1.52568845126255,1.95286292247531,1.25894331379782,0.811536503505342,0.94854339650896,2.2,1.64361418528217,1.10389102030296,1.10222108813617
25,1.25256705749974,1.48906870971113,1.57762650406176,1.30364054638373,1.16713415804113,0.966793714186131,1.98327626987988,1.50207930966268,1.30003878398318,1.16673179229897
26,1.01555402955288,0.949501883308823,1.38049944903943,1.03153205593348,0.827924494223731,0.833798378179625,1.36679139496904,1.10052757836753,0.766864736719516,0.554747862395027
27,1.9925802722564,1.9843947439311,1.9037706075541,1.99674933480793,1.90377060755408,1.9967493348339,2.00325690599553,1.99674933508408,1.90377060755409,2.04197891188482
28,1.90377060755413,1.80716207905478,1.90377060755409,1.90377060755408,1.90377060755409,1.90377060755408,1.9037706075541,1.90377060755408,1.80313585609936,1.80313585614743
29,0.916765874450134,1.01683679658579,1.39714028726854,1.03328088457794,0.503533957729437,0.76741916217988,1.5970010782373,1.10119803839678,0.900315148233019,0.487947191765345
30,0.420417214946744,0.998084912707004,0.634926591850618,0.396844240441902,0.269193941666334,0.374460777452242,1.44815788504258,1.10077968318635,0.833411126410446,0.600282807811936
31,1.18467704042617,1.13515280835273,1.56677902983965,1.30000058127296,1.10105278930675,0.767189549857324,1.50081214955858,1.31717046304061,0.96692779679359,0.797122970140876
32,1.54031143316559,1.62112677064969,1.8454646999264,1.56720810340234,1.43513588504118,1.30364054638373,1.72915646242282,1.75261517199722,1.47779603773843,1.56720810340234
33,1.90377060755414,1.99258027243551,1.90377060755409,1.90377060755409,1.9037706075541,1.90377060755409,1.9037706075541,2.00325068322241,1.90377060755409,1.9037706075541
34,1.99890065005445,2.00158433910208,2.04197891188482,2.03268570086021,1.99674933493614,1.98327626987988,1.90377060755408,2.00325068316201,2.00325068323832,2.10378246375753
35,1.23384542072317,1.43669787332741,1.56846636924651,1.2333893903988,1.10003328475128,1.03341235925082,1.76712919726755,1.57061367730473,1.30137113237608,1.10000100845368
36,1.4335270991303,1.60289690705514,1.63615772059958,1.43328509588595,1.3971402872277,1.30003878398318,1.98327626987988,1.56677902983965,1.49078442504118,1.36717102169605
37,0.110653034550537,0.21317489216793,0.137491748165334,0.242801983416018,0.0941070372225687,0.1,0.370299832488208,0.111304912258753,0.137491748165334,0.205476166090839
38,1.78419398467165,1.84749184165321,1.9037706075541,1.803135856164,1.79686436008756,1.60299965328358,1.99674933467077,1.80310900455573,1.79686436018413,1.80313585613246
39,1.90377060755412,1.93526902262686,1.9037706075541,1.90377060755408,1.90377060755409,1.9037706075541,2.0032506832279,1.79685132399483,1.99674933500727,1.98327626987988
40,0.53823821926393,0.649380424243811,0.965246168888872,0.632439184898924,0.1,0.438299855525103,1.03366993309776,0.603018829933094,0.501585201433063,0.432331124922591
41,1.58779049247479,1.58457415046168,1.8454646999264,1.5040273863646,1.56846636924651,1.4335270991303,1.90065340803202,1.63423910413511,1.43328509588595,1.39714028725233
42,0.317860089997912,0.461117276940172,0.700087451369148,0.536578849632987,0.0495836736461085,0.1,0.804351089466375,0.497616197507038,0.340504976810055,0.297918795396779
43,1.50743302512756,1.87853337021395,1.83493115691909,1.4622323156372,1.56530718383808,1.24015318955689,1.86981507163721,2.06760949177826,1.83410371663373,1.72915646242282
44,1.51398677443323,1.74818435520145,1.76934844256905,1.5040273863646,1.52401345034288,1.23866343015742,2.2,1.64361418528217,1.61066927456384,1.57366988984112
45,0.826644941831647,0.633020369865829,1.18895225173717,0.528459637380328,0.633909831884344,0.860277849179743,0.819427945961241,0.689111652346842,0.451286613592978,0.484699394869575
46,1.93687595965045,1.9173536493172,2.15696567859885,1.95286292247531,1.84587459585655,1.78088558836432,1.99674933487902,1.99674933484555,1.90065340803202,1.83410371663373
47,1.80029614845617,1.9511237395633,1.9967493348238,1.83410371663373,1.69494968561466,1.70005678849847,1.99674933457476,1.97044113615207,1.97044113615207,1.9037706075541
48,1.73588818773313,1.75060753547762,1.9316959010179,1.83807477719738,1.50017387007875,1.682677968079,1.90065340803202,1.76934844256905,1.69494968561465,1.63337417146514
49,1.78419398467165,1.84749184165321,1.8031358561606,1.9037706075541,1.69494968561465,1.70005678849847,1.99674933457708,1.79686436010149,1.80313585616531,1.80313585620034
50,0.443386921137927,0.757698203345386,0.432331124922591,0.497616197507038,0.634926591850618,0.1,1.10607559081018,0.875590297727655,0.1,0.713197151406204
51,1.70015550482555,1.90788064298099,1.90377060755408,1.79686436027182,1.60300659620076,1.50000526120572,1.99675479246773,1.91625874077229,1.98327626987988,1.76934844256905
