subNo,SVtask
1,1.42622210359839
2,1.48242527027103
3,1.80121477484499
4,1.90021780505457
5,0.999935897158912
6,1.80644331159683
7,1.76726999343967
8,1.75867959400877
9,1.75393736981307
10,1.12888906473544
11,1.36161465996943
12,0.686629940772061
13,0.92694515464019
14,1.53743772997104
15,1.45288644040601
16,1.07628386846943
17,1.21866673462836
18,0.796560158839364
19,1.29694924257989
20,1.98702786262583
21,1.91961568062039
22,0.925311574571791
23,1.93968411925868
24,1.39220829365067
25,1.37144941716546
26,0.982262192842098
27,1.96310125246066
28,1.8104953942397
29,0.966598208956253
30,0.690703364856189
31,1.15999891193649
32,1.57703229359327
33,1.98913539359188
34,2.00466443772243
35,1.33504927497081
36,1.51784459089395
37,0.158631635686527
38,1.81583130367182
39,1.91751472983482
40,0.598877865401737
41,1.58590929398274
42,0.394509508988147
43,1.72178442153423
44,1.62856010355901
45,0.718649805671289
46,1.91498382246258
47,1.87574066398054
48,1.7402739289894
49,1.81583130367182
50,0.553170199091487
51,1.80269899973111
52,0.225589275047255
53,1.20901432477471
54,1.71253348471212
55,1.90574447602402
56,1.64370667721717
57,1.70163811799423
58,1.61824209416256
59,1.95350342767279
60,0.85750422454039
61,1.72562682897208
62,0.992731000064001
63,1.37198614663507
64,2.00078735149163
65,1.88253210485726
66,1.59744313808544
67,0.574869263019944
68,1.57202839472849
69,1.56719635673943
70,1.80894612843563
71,1.9014071232619
72,1.99483269715483
73,1.27687307218682
74,1.93016697796733
75,1.42666904362105
76,1.60741303079114
77,1.75482724440282
78,1.93476638247118
79,1.03276386860251
80,1.64950669520721
81,1.84121624016292
82,1.77786908403596
83,1.76935584192978
84,1.09378115760646
85,1.3172402441958
86,0.659288615151104
87,0.828231875319297
88,1.57165340353448
89,1.51183583256892
90,0.981043265237409
91,1.23609529719724
92,0.827823675507883
93,1.29336019301784
94,1.98327626987988
95,1.92349272560852
96,0.933015682796059
97,1.85440977581727
98,1.22191490176557
99,1.39639391379607
100,1.08490404466401
101,2.00158433965692
102,1.80859946892522
103,1.02543636503858
104,0.658004670083089
105,1.18467704042617
106,1.46280211664211
107,1.99109436789643
108,1.96493684808038
109,1.30183181832752
110,1.40168192864476
111,0.317501427926315
112,1.81583130367182
113,1.94273036406743
114,0.582449216470236
115,1.57716717268078
116,0.436392995098149
117,1.73022957885693
118,1.58189910900478
119,0.71219670287988
120,1.91090797088278
121,1.81975023957103
122,1.88633120850478
123,1.82440619392044
124,0.60764909165547
125,1.80351470227498
126,0.371676514472475
127,1.19195458725092
128,1.75391088969611
129,1.91403152846588
130,1.68397252374318
131,1.65851175550458
132,1.62546403311172
133,1.92861884369986
134,0.895469676089121
135,1.76856626362755
136,0.951143494519671
137,1.38139104745635
138,2.01490214540572
139,1.78718682798521
140,1.6473076446787
141,0.517830835056566
142,1.61270632218907
143,1.51140788003985
144,1.78815960637625
145,1.9000100824699
146,1.99488237494604
147,1.24561650819449
148,1.74674374896361
149,1.63484001996368
150,1.54108222356597
151,1.73624705662382
152,1.926631398764
153,1.0506141741795
154,1.76697445960629
155,1.77531951139204
156,1.80009530777102
157,1.89980155717519
158,1.16506065124092
159,1.36740297229426
160,0.679408209338447
161,0.907615423860325
162,1.57241756311989
163,1.45208784607809
164,1.05060194100598
165,1.23086563496095
166,0.678478284687971
167,1.25283181582901
168,1.84435709302412
169,1.90000149134995
170,0.90021879434295
171,1.86090745482257
172,1.28192003704344
173,1.37823512487592
174,0.908047704910203
175,1.97788102644082
176,1.90000006039606
177,1.06707966111833
178,0.6589514233228
179,1.14257276133649
180,1.50145129021621
181,1.98602436382873
182,1.9860452764214
183,1.30170995378042
184,1.43419443283263
185,0.18295488883353
186,1.80846283241197
187,1.9014071232619
188,0.669860568753329
189,1.66393450052324
190,0.468809371687342
191,1.74130575100184
192,1.57603817051759
193,0.708460120956817
194,1.9707275728981
195,1.84749184165321
196,1.80635585983017
197,1.79197258878935
198,0.680792479810746
199,1.79463169117532
200,0.243511803687861
201,1.16709448829871
202,1.70943947382034
203,1.96633204445206
204,1.60318995026759
205,1.65135493977039
206,1.64398115941953
207,1.89013194985014
208,0.874068966186034
209,1.72524292381572
210,1.07616731146002
211,1.48572863039872
212,2.00158433918227
213,1.73610140640665
214,1.64713233170938
215,0.456834923623354
216,1.63738946242825
217,1.50493587065048
218,1.75307795168118
219,1.92040077690302
220,1.99674933319172
221,1.2734427557668
222,1.81295905624674
223,1.37031950948017
224,1.44280380430161
225,1.73906169424511
226,1.96950843220231
227,1.06761035638612
228,1.66793478381072
229,1.79191889058817
230,1.79186847826093
231,1.87983321906726
232,1.07618801224662
233,1.35027229345991
234,0.699557809747483
235,0.880035708139629
236,1.52170805318192
237,1.50629781167442
238,1.06761857022995
239,1.25340029121517
240,0.655903964255206
241,1.30159255083822
242,1.89331716985109
243,1.90003808764689
244,1.00031594711227
245,1.95462484098005
246,1.24394339390092
247,1.33074190577646
248,0.916147114922384
249,2.00034337354644
250,1.90000149134995
251,1.1347425041081
252,0.597140648640955
253,1.14294583478669
254,1.43210543975965
255,1.98602436378817
256,1.99236522333708
257,1.26833402540149
258,1.50042076504285
259,0.184061513855405
260,1.85813413611813
261,1.95145742456789
262,0.51676885959563
263,1.56731886553156
264,0.542055401975816
265,1.7577614592163
266,1.61207830674286
267,0.768542131199496
268,1.89793117132932
269,1.83520458764732
270,1.83260972554347
271,1.83955759433794
272,0.457578857314142
273,1.73610140640666
275,1.20033380678495
276,1.72580088731562
277,1.93476638247118
278,1.58975769451471
279,1.6434446573936
280,1.62741876478467
281,1.95956460700238
282,0.835595283103984
283,1.70967569374908
284,0.957397717749194
285,1.44726610007171
286,2.00749124963462
287,1.79514010220588
288,1.52609622287795
289,0.54778602312362
290,1.57323833687315
291,1.55507342416223
292,1.83485130085796
293,1.94899926306943
294,1.99381013287703
295,1.37219197212949
296,1.82885871116016
297,1.33142248623336
298,1.59445539709392
299,1.75901756703086
300,1.93426864476227
301,0.974838680839617
302,1.78548601042959
303,1.80004160975305
304,1.80009530777102
305,1.81014906645901
306,1.11052697138006
307,1.42593986853501
308,0.632859657351284
309,0.778616534474867
310,1.56719635673944
311,1.44538081434532
312,0.964720726706868
313,1.21183419856281
314,0.662791318097435
315,1.27952441138102
316,1.91508641755787
317,1.91041398839697
318,0.974973990169908
319,1.86543870563033
320,1.17694647363395
321,1.35409105321231
322,0.971793139123743
323,2.00832471199879
324,1.81049539432226
325,1.14257276133649
326,0.741616039119038
327,1.21121530500478
328,1.52750082481599
329,1.98601985367779
330,2.02551921164148
331,1.3028876271721
332,1.47582637591837
333,0.179511589380383
334,1.82502440342303
335,1.91073670591164
336,0.586099526248027
337,1.58710233182513
338,0.461427078039457
339,1.69904492901702
340,1.66888587608689
341,0.630580567614335
342,1.90794226082672
343,1.81877242582769
344,1.76262963088078
345,1.84121624016292
346,0.511495107285145
347,1.76979552635986
348,0.147198312536406
349,1.23440048190594
350,1.70888651405255
351,1.91756209253717
352,1.51991409641663
353,1.65135493977039
354,1.63529906668099
355,1.92861884369986
356,0.839471727163936
357,1.7002311807835
358,1.01307046754436
359,1.50519928588351
360,1.9852704057304
361,1.80269899973111
362,1.53865916928385
363,0.54448514275182
364,1.60714397682329
365,1.54204291057777
366,1.74234278616717
367,1.92615349087751
368,1.99674933371245
369,1.26925171071094
370,1.8136299427087
371,1.28491233272753
372,1.49098280415599
373,1.7124887969415
374,1.92598910978948
375,1.08428330363179
376,1.90585660531283
377,1.79209816735775
378,1.76703118517572
379,1.77802557175392
380,1.16398108835472
381,1.29302943326124
382,0.674336775208655
383,0.781458716662839
384,1.57818367636498
385,1.4768443440697
386,1.05815894379591
387,1.25469155869867
388,0.851711136015187
389,1.32807395659827
390,1.94795016117038
391,1.90003808764689
392,0.992019164544709
393,1.89729556870369
394,1.23408687727675
395,1.35388187881053
396,0.956331761459835
397,1.9852704057304
398,1.87650784910675
399,0.958070686946642
400,0.722704162956027
401,1.21793401537072
402,1.46497314605357
403,1.98602436380847
404,1.99283522593825
405,1.31037459721616
406,1.44172186140011
407,0.194294875438898
408,1.81583130367182
409,1.95153956305118
410,0.526637771245121
411,1.61486655128135
412,0.297958281963664
413,1.69560926678879
414,1.57564743817583
415,0.804122660730724
416,2.04618391255415
417,1.8183564486844
418,1.77027986639987
419,1.8000015345661
420,0.6100566601618
421,1.72134676960554
422,0.326770988108612
423,1.192854464759
424,1.73259024528177
425,1.9249262837235
426,1.63547902041579
427,1.70257493800557
428,1.60088809349084
429,1.97249831492409
430,0.837841949607031
431,1.78374427223205
432,0.995876850571709
433,1.49202866708099
434,2.00414824429589
435,1.80432647408809
436,1.65968718731651
437,0.415676626443505
438,1.62033152528094
439,1.52239834496122
440,1.85958533840107
441,1.91073670591164
442,1.99674933446121
443,1.32042585949582
444,1.87400150280565
445,1.54177372600978
446,1.58823054679557
447,1.74551873522202
448,1.94273036406742
449,1.11829708398781
450,1.74998752100777
451,1.76838055632788
452,1.83164437849103
453,1.66301886994903
454,1.03273647155035
455,1.29248303210891
456,0.716621104607671
457,0.774984965905343
458,1.44426530484462
459,1.45357758776439
460,1.03095791150384
461,1.16117113384068
463,1.37012899592027
464,1.85778092028918
465,1.80859946937915
466,0.875064298875808
467,1.87612052570552
468,1.16803534170227
469,1.33591968895084
470,0.915080483010981
471,1.99674933442783
472,1.81049539428407
473,0.933048319987016
474,0.661205694533746
475,1.20947591977654
476,1.54910363776111
477,1.99109436803874
478,1.97643437737902
479,1.276331978866
480,1.42583294173041
481,0.092865088645524
482,1.80009530777103
483,1.92615349087751
484,0.566519292971377
485,1.58743877407979
486,0.492614353251543
487,1.65118097838905
488,1.59488320607613
489,0.670214368492324
490,1.91097537831534
491,1.85989953971692
492,1.82305586599703
493,1.80004160975305
494,0.474512292955428
495,1.75391088969611
497,1.22592523478698
498,1.68474514591646
499,1.87762702363148
500,1.65652247706209
501,1.65913103523034
502,1.66764821767582
503,1.92019555843878
504,0.855809605421573
505,1.70032672095839
506,0.979191616849959
507,1.33702483720827
508,1.97049661510896
509,1.80319663673474
510,1.60768560957951
511,0.475438715292065
512,1.59940294657996
513,1.5642478026368
514,1.7937433710333
515,1.94340648352875
516,1.99759869182954
517,1.32961606958373
518,1.77470309281335
519,1.4197932982276
520,1.66431534467544
521,1.78022103718272
522,1.92615349087751
523,1.04207923459048
524,1.85705478527771
525,1.77541323496386
526,1.79191889058818
527,1.7909969000367
528,1.07614826051884
529,1.29287846459558
530,0.724114452211769
531,0.690214550058234
532,1.51332868544384
533,1.44514073021178
534,1.02423839661632
535,1.27916250691039
537,1.31017876612658
538,1.92339625818327
539,1.88039747165303
540,0.883729315978346
541,1.97371521893807
542,1.23002565137163
543,1.40468020080911
544,1.0085441639317
545,1.96848307461294
546,1.90000006039606
547,0.974028242944671
548,0.562267450375739
549,1.19470047099775
550,1.52375318605624
551,1.98913539346516
552,2.02427618212912
553,1.28619100594916
554,1.42573345567602
555,0.124186598114041
556,1.80009530777103
557,1.91790530346162
558,0.585251699522
559,1.60031002339483
560,0.435198224029698
561,1.6804226397099
562,1.61608300832544
563,0.773217199286155
564,1.96618842555515
565,1.79273085412919
566,1.76576022900607
567,1.8000015345661
568,0.317103961753506
569,1.78952543750475
570,0.281102121170839
571,1.22566532965614
572,1.73407527366768
573,1.92861884369985
574,1.58335685833349
575,1.64528954308836
576,1.60836505043442
577,1.92856509807474
578,0.814514279013601
579,1.69391384957615
580,0.9349366813659
581,1.41616214973921
582,1.9967493342831
583,1.8014743484381
584,1.47547483879165
585,0.68740680191253
586,1.64129896427316
587,1.57094603021405
588,1.92149159729072
589,1.9173536493172
590,1.9925802723061
591,1.34573829013866
592,1.85006812984635
593,1.39450278017476
594,1.57662690307545
595,1.75129748694516
596,1.90898240998437
597,1.03379259492195
598,1.83190170201623
599,1.80861754908196
600,1.75874079010291
601,1.87608241847134
602,1.03253403161949
603,1.37644134237662
