1,6.2226,1.6089,4,0,4,111.9,259.52,265.74,17.641,6.2226,1,1
1,6.6307,1.6041,2,0,10,360,357,3.6307,26.531,6.6307,1,2
1,8.679,1.6041,4,0,2,73.367,307.53,316.21,242.84,8.679,2,1
1,4.653,1.9048,2,0,7,54.41,340.78,345.43,39.844,4.653,2,2
1,16.617,1.8046,3,0,8,42.445,320.2,336.82,19.266,16.617,3,1
1,2.0328,1.7043,2,2,2,121.72,190.64,188.61,66.891,-2.0328,3,2
1,NaN,NaN,1,0,4,NaN,241.89,NaN,153.3,NaN,4,1
1,1.248,2.4061,2,0,2,125,190.64,191.89,66.891,1.248,4,2
1,0.60248,2.406,2,2,9,59.665,39.844,40.446,340.78,0.60248,5,1
1,5.7564,1.9048,4,0,11,112.37,240.02,234.26,121.89,-5.7564,5,2
1,5.9989,2.406,3,0,11,100.22,99.5,93.501,193.72,-5.9989,6,1
1,18.034,2.9071,4,2,10,135.25,145.48,163.52,298.77,18.034,6,2
1,2.652,1.5039,4,2,7,360,121.89,119.24,240.02,-2.652,7,1
1,3.6918,1.9048,4,0,6,151.35,240.66,236.96,28.313,-3.6918,7,2
1,18.806,3.9097,2,2,6,107.4,66.547,85.353,337.95,18.806,8,1
1,0.99104,1.8046,1,0,3,122.76,270.84,269.85,147.09,-0.99104,8,2
1,NaN,NaN,4,0,5,NaN,208.34,NaN,149.28,NaN,9,1
1,NaN,NaN,4,2,8,NaN,17.641,NaN,259.52,NaN,9,2
1,13.991,1.6041,2,2,5,104.13,153.23,139.24,35.109,-13.991,10,1
1,1.9841,1.6041,2,2,3,90.578,337.95,335.97,66.547,-1.9841,10,2
1,20.354,2.005,3,0,10,103.4,30.188,50.541,153.94,20.354,11,1
1,0.82951,2.6064,3,0,2,93.389,193.72,192.89,99.5,-0.82951,11,2
1,19.903,2.9073,3,0,12,157.28,130.63,110.72,313.44,-19.903,12,1
1,10.981,2.6066,2,0,2,18.55,260.94,271.92,290.47,10.981,12,2
1,0.48085,2.5064,3,2,3,118.61,229.36,228.88,347.48,-0.48085,13,1
1,2.3114,3.3081,3,0,1,90.905,66.109,63.798,154.7,-2.3114,13,2
1,14.725,1.8046,2,0,11,14.806,26.531,11.806,357,-14.725,14,1
1,7.3491,3.2078,1,0,3,101.57,120.17,127.52,25.953,7.3491,14,2
1,4.197,1.8046,3,0,11,172.99,6.7188,2.5218,189.53,-4.197,15,1
1,20.336,2.2055,3,0,9,156.85,40.141,19.804,222.95,-20.336,15,2
1,2.6536,1.5038,2,2,3,32.185,290.47,293.12,260.94,2.6536,16,1
1,5.241,1.6042,1,0,10,118.51,58.781,64.022,182.53,5.241,16,2
1,62.091,2.106,1,2,4,150.69,241.89,303.98,153.3,62.091,17,1
1,3.3854,1.9048,1,2,8,360,175.13,178.51,263.72,3.3854,17,2
1,2.428,2.2055,4,2,2,27.103,106.23,103.81,76.703,-2.428,18,1
1,9.0958,3.1078,3,2,9,173.72,40.141,49.236,222.95,9.0958,18,2
1,44.521,3.2081,3,0,4,133.12,154.7,199.22,66.109,44.521,19,1
