sub,kappa_I,kappa_U,beta_I,beta_U
1,0.149142205494845,0.221775523172061,1.67553645526676,1.68510644754369
2,0.128615854732699,0.0976954184897966,3.28982903472061,2.82760023217318
3,0.0560715951896806,0.0532642579624777,4.60286088011084,4.01467630057173
4,0.0149500982965123,0.0149526174510666,9.50727157165221,15.2477294155342
5,0.401006409989012,0.412956947925974,5.75218705006206,4.42083513439338
6,0.0807771368946937,0.0301293124195112,2.08247172474201,1.72435565786044
7,0.0594386522511873,0.0385454786841938,11.3417348489889,27.2869687586688
8,0.0456762984168872,0.0445761876491707,23.1302599602112,14.3012414177725
9,0.0414165426796251,0.040870286776716,4.05022632831393,4.80980624533963
11,0.553554709743448,0.227677855199866,3.49794258052349,3.72090311881191
12,0.266103356886804,0.167918014408526,6.59779063261009,9.45599532547357
13,1.18719348963471,0.669985445553926,4.14956584306071,3.11010653546559
14,0.63229713965028,0.856760411805968,1.58727957370462,1.52932278111859
15,0.136458626422336,0.125266363552564,5.40385050985672,6.27128828843783
16,0.150833616522014,0.150960490654075,8.73823326169881,4.49097009487232
18,0.656737617144261,0.303069691237261,3.06056359138444,4.10042193211298
19,0.271247161961657,0.288586241489796,3.89884080916221,4.47772249180268
20,2.12326028527667,0.209006277388144,1.82136982798438,0.959246751605866
21,0.317600583169073,0.153592951722602,6.58736594852741,5.77602238139405
22,0.0215268343897534,0.0133069894284998,5.83906336440629,5.89913709566002
25,0.0124381796109364,0.0188377669063958,357.632485385796,17.320137207826
26,0.497948226078675,0.520519592239144,7.26293073358897,7.30362051815353
27,0.0228946242084055,0.0229996274657674,8.76582384852181,6.57895573876927
28,0.464739238406886,0.137428814154754,2.61537231754833,2.41583688669528
29,0.23181462927595,0.175592764177518,4.28626915737794,6.40610134524806
31,0.43974817829032,0.560240237157815,3.50742824924007,5.19002502341477
32,0.00177163959234458,4.78661369376744e-14,66.4852065001703,15.9118104461121
33,0.0118958057757498,0.0236556444785705,357.182879778375,22.1346187216363
34,0.520573700253311,0.388653366981319,5.53033954654874,4.72920677977353
37,2.00887794262776,0.509970105581264,4.55407528574361,3.33974782563617
38,0.324116824603255,0.260349973109626,6.03224888425576,4.63975163585019
39,0.147747707925062,0.127766651304446,5.05223589976543,3.98670684440552
40,0.0124553744723017,0.000796792533740681,358.490835053687,354.751243914162
41,0.0033711559958863,1.03899009276001e-13,8.40780845165396,15.7107535608588
42,0.280821003828497,0.19787410715892,7.12446725258502,5.94510922582594
43,0.174129488063552,0.156975034311904,9.64654572285799,7.61507091582058
44,8.1801410721288,4.82459784213017,4.44100715552611,4.03513648887033
45,0.05099692070394,0.0339943748015082,17.9456912981905,16.2407933426095
47,0.0124065381555359,0.00801165401453473,358.422704702024,7.99010544816836
48,1.43549237270762,0.999924113143211,4.3215408038717,6.04985767803583
49,0.11153180553933,0.101514876315391,5.60365227633543,12.0355837049066
51,2.26445804554511,1.43375986213854,2.94982972470614,3.64874218832236
53,0.0996910283123426,0.0499425257746741,2.93511630864027,5.32920762698428
55,0.130658660542891,0.0885133172808153,4.91023033164485,4.08058185478271
56,0.704953977810204,0.783932522348993,1.59593048748072,2.25293812892838
57,0.0161446480098711,0.0114712099892557,2.54042256237297,14.0533488222371
58,0.0635502577108319,0.0245196953335564,13.6634634560331,13.3238793859312
59,0.036069876042559,0.0440891924425621,5.22897802614784,7.47922848425484
60,0.0480236330598188,0.0368931309510842,15.1719912370117,21.7642210715116
62,2.22488537640738,0.59043936518769,2.57606102357199,1.39835151641838
103,0.0723132535584574,0.0369869300767279,8.22558851937395,5.94330632410433
108,3.5229412182624,7.04569275281177,2.06287560218746,1.73955131286159
109,0.256476808572257,0.331769940227091,7.01518105956019,7.69932777924645
110,0.0765180046831489,0.0504253426549683,9.43482710898744,6.92967789148712
111,0.0231348594461214,0.0132733768993412,15.7166005877555,5.67236155885454
112,0.131367922606031,0.0858582905028886,3.72487148228194,5.29056325944906
113,0.0764657202861256,0.0948790890739364,13.1607253535025,6.475197492155
114,0.0882694925746825,0.0963977366964819,9.02115937321845,8.78115600698549
115,0.0247177932166455,1.65910806793958e-10,5.74093047300014,5.70072703361055
116,0.735727686517416,0.533388919619044,4.23590479665054,3.36563917493111
117,0.0652943881645282,0.0641048462550257,14.4718602447767,7.79172294346177
118,0.549571866771442,0.398196755768109,3.12359869948132,2.62254457214587
119,0.179546038725407,0.179294321954595,2.66474569260107,2.55457794545905
120,8.72226014615683e-18,3.30830856093608e-14,187.649847005876,15.9117829182027
121,0.0635706562985674,0.028523790960867,6.95613492118188,9.71748514617223
122,0.160717356439063,0.0675122796176067,1.93590606394325,2.43547065421184
125,1.48778637888103,1.23489859426636,1.56785514639813,1.83024140490009
126,0.164902228223807,0.0489227063780085,6.60885412589267,5.63206656305629
127,0.120425240869424,0.134582253774345,4.29457763942293,5.34471923293359
128,0.0665332075011568,0.0241549752677643,5.00088266449285,6.19552515757775
129,0.00726575938802317,0.0174737793573129,58.3578204950981,6.7762496132733
130,0.0118762181275415,1.45207605383088e-17,358.199243879472,194.600673138573
131,0.303247612542053,0.173228803168662,4.12869675993645,5.36679762911591
132,0.048034138932952,0.0271616610262757,7.5726457150332,6.21684825385599
