subNo,mean Deviance,Median Deviance
1,6.08777453120563,5.42508366337538
2,6.09366860711406,4.94907125432307
3,6.03057755554658,5.30436204555677
4,6.71714498380105,5.35148687325074
5,6.68475754094932,4.98046195419485
6,7.22442579992908,5.390697739789
7,5.91941642227493,4.74181868424679
8,6.04400094970422,4.29649635107663
9,10.4140337368774,8.80183830413884
10,5.78662086696994,5.69023258822793
11,5.63503210497384,4.68279575930899
12,6.17028051972254,4.6857322266932
13,4.63696590171014,3.95396143986133
14,4.62128081575608,3.08388123729375
15,4.63328317345615,4.34374667960913
16,10.1383035546821,3.7943365319375
17,6.82137359162337,5.62973513060194
18,7.2074293507858,6.17070552020002
19,8.38303250092607,6.39182758418726
20,6.59575200435255,5.4274185130691
21,6.71854411456013,6.09952276458864
22,5.75059960858183,4.04794948871567
23,5.29231740802168,4.10440465607391
24,4.98573912150329,4.24337548932462
25,4.94125630333344,3.65720136195938
26,5.29937722705548,3.77821446436546
27,6.08378112696187,5.12682733260937
28,5.01787089224074,3.04290953351789
29,7.43386664797677,5.4637177072436
30,4.76212766302396,4.39526509793675
31,6.22032495693374,4.4628924918003
32,5.59578961323232,5.06152320135749
33,7.31672023615845,6.11617836232079
34,7.51676733139685,6.44902925955228
35,6.62066940318571,4.94891519786378
36,5.28576648069126,3.89917919025856
37,4.45500144055293,4.08284304587239
38,5.13581023490676,5.24069249546838
39,7.41067249176076,6.94107831368743
40,7.81082121631264,6.62813181848419
41,5.21676416733518,3.71799842408764
42,4.37255216840164,3.19370318089523
43,3.64234091646818,3.20716112982475
44,5.184246892581,4.87980830008419
45,6.33353055359177,5.74189232185805
46,5.73592147998273,5.28991100961019
47,5.49533602679706,5.41795572279332
48,5.24754785884591,3.70839748362444
49,6.07379647487039,5.4126419506005
50,5.24517932182693,3.59076431540672
51,9.58802332498353,4.19418478839606
52,5.72777787567633,4.41058771255504
53,7.67321653735123,4.86215081614515
54,8.90446692115063,5.71342189588909
55,6.67700357516463,4.89091278858834
56,6.43050872518826,2.90337928722718
57,5.83860854801499,3.9107808826335
58,9.13490245279103,5.85429074373647
59,5.14064848159514,4.40802955431104
60,6.43376008945884,4.77965980415417
61,7.41029764271794,5.73292611034639
62,5.62389667347418,3.93071716643315
